"id";"doi"
"NCT01079247";"10.1097/sla.0000000000002408"
"NCT02603926";"10.1007/s13311-017-0555-6"
"NCT02023918";"10.12688/f1000research.11359.1"
"NCT00221338";"10.1097/aln.0000000000001804"
"NCT01676714";"10.1016/j.ctarc.2016.12.002"
"NCT01687634";"10.1007/s10995-017-2342-8"
"NCT00823459";"10.1002/cncr.30909"
"NCT01925248";"10.1136/bmjdrc-2017-000420"
"NCT01693250";"10.2196/ijmr.7860"
"NCT02620488";"10.2147/jpr.s131859"
"NCT02086123";"10.1016/j.jamcollsurg.2017.07.1063"
"NCT02898844";"10.1177/1359105317709514"
"NCT01819987";"10.1177/1043659617719139"
"NCT03113526";"10.1001/jamaoto.2017.1414"
"NCT01942811";"10.1016/j.drugalcdep.2017.04.022"
"NCT02084316";"10.1016/s2352-3018(17)30131-5"
"NCT02694731";"10.1007/s10865-017-9884-5"
"NCT01941927";"10.1111/pcmr.12644"
"NCT01624948";"10.1016/j.transproceed.2017.06.030"
"NCT01535235";"10.20411/pai.v2i3.207"
"NCT01281475";"10.1002/ajmg.a.38457"
"NCT01327651";"10.1016/s2352-3018(17)30156-x"
"NCT02040298";"10.1016/s0140-6736(17)32346-2"
"NCT01728961";"10.1371/journal.pone.0186589"
"NCT02819050";"10.1038/jp.2017.161"
"NCT02605304";"10.1111/liv.13616"
"NCT02258425";"10.1097/nnr.0000000000000249"
"NCT01835665";"10.1016/j.trci.2017.08.002"
"NCT01911039";"10.1016/j.bbmt.2017.10.039"
"NCT01409642";"10.1016/j.jaac.2017.10.008"
"NCT01116921";"10.1016/j.jpeds.2017.09.068"
"NCT02494024";"10.14283/jpad.2017.36"
"NCT00355056";"10.1016/j.jacc.2017.09.1105"
"NCT02124252";"10.1002/ijgo.12415"
"NCT01766674";"10.1186/s12891-017-1862-0"
"NCT02501889";"10.1186/s12937-017-0304-z"
"NCT01828593";"10.1080/15284336.2017.1401256"
"NCT01383161";"10.1016/j.jagp.2017.10.010"
"NCT01062568";"10.1210/js.2017-00013"
"NCT02026011";"10.1111/acer.13586"
"NCT02282293";"10.1093/infdis/jix660"
"NCT01576055";"10.1177/1526602817749242"
"NCT02424097";"10.1007/s00784-017-2314-9"
"NCT02535767";"10.1093/infdis/jiy014"
"NCT02106702";"10.2105/ajph.2017.304250"
"NCT01176396";"10.1177/0022034517737022"
"NCT01704105";"10.1016/s2214-109x(18)30005-6"
"NCT02831023";"10.1016/s1473-3099(18)30044-6"
"NCT02662244";"10.1002/lsm.22803"
"NCT02812914";"10.1186/s12889-018-5138-x"
"NCT01444183";"10.1212/wnl.0000000000005109"
"NCT02623855";"10.1371/journal.pone.0192921"
"NCT01917994";"10.1093/cid/ciy156"
"NCT00895258";"10.1080/13854046.2018.1436725"
"NCT02433691";"10.3233/jad-170846"
"NCT03303456";"10.2196/mental.8551"
"NCT02215161";"10.1634/theoncologist.2017-0624"
"NCT02593253";"10.1136/bmjqs-2017-007393"
"NCT01811355";"10.1002/mus.26117"
"NCT01008566";"10.1007/s00280-018-3553-4"
"NCT01406626";"10.1001/jamainternmed.2018.0150"
"NCT02642666";"10.1097/dbp.0000000000000552"
"NCT00033631";"10.1001/jamaoncol.2018.0039"
"NCT02313181";"10.1016/j.jpeds.2017.12.073"
"NCT02516202";"10.1001/jamainternmed.2018.0116"
"NCT00766116";"10.1016/j.clml.2018.02.017"
"NCT00860145";"10.1111/epi.14045"
"NCT01155011";"10.1186/s12966-018-0658-4"
"NCT02488915";"10.1161/strokeaha.117.020125"
"NCT01674231";"10.1016/j.abb.2018.04.003"
"NCT01906424";"10.1089/neu.2017.5461"
"NCT01630434";"10.1016/s2213-2600(18)30136-x"
"NCT03043885";"10.1002/jper.17-0466"
"NCT02384200";"10.1016/j.juro.2018.04.062"
"NCT02303626";"10.1111/all.13466"
"NCT00998010";"10.1016/j.ijrobp.2018.01.001"
"NCT01957748";"10.1007/s10461-018-2132-3"
"NCT02539797";"10.1371/journal.pone.0197023"
"NCT03457545";"10.1111/ctr.13274"
"NCT01470794";"10.1093/neuonc/noy075"
"NCT02654743";"10.1186/s13229-018-0218-4"
"NCT01307683";"10.1186/s12884-018-1757-6"
"NCT01365819";"10.1016/j.drugalcdep.2018.04.023"
"NCT01964820";"10.2196/10494"
"NCT02012491";"10.1056/nejmoa1715726"
"NCT02879994";"10.1016/j.jtho.2018.03.035"
"NCT01051037";"10.1016/j.ijrobp.2018.03.011"
"NCT01365793";"10.1056/nejmoa1716816"
"NCT02902913";"10.1016/j.jff.2017.06.046"
"NCT02233582";"10.1089/ham.2017.0144"
"NCT01528020";"10.1001/jamapsychiatry.2018.1109"
"NCT03194620";"10.1038/s41598-018-28333-w"
"NCT01720641";"10.2196/jmir.9821"
"NCT01542918";"10.1182/bloodadvances.2017014845"
"NCT02277327";"10.1542/peds.2017-4278"
"NCT02569060";"10.2105/ajph.2018.304528"
"NCT02423720";"10.1371/journal.pone.0199423"
"NCT01771705";"10.1097/txd.0000000000000810"
"NCT02040805";"10.1192/bjo.2018.30"
"NCT02219308";"10.1097/aog.0000000000002790"
"NCT01982968";"10.1016/s2213-2600(18)30301-1"
"NCT02234284";"10.1513/annalsats.201806-365oc"
"NCT02690948";"10.1016/j.jaad.2018.08.017"
"NCT01975090";"10.1016/j.jvir.2018.05.009"
"NCT02116621";"10.1001/jamainternmed.2018.3981"
"NCT01465607";"10.1371/journal.pone.0201954"
"NCT01949116";"10.1093/cid/ciy781"
"NCT02371525";"10.1093/cid/ciy810"
"NCT01627392";"10.1002/cpt.1238"
"NCT01429454";"10.1016/j.schres.2018.09.022"
"NCT02428309";"10.1002/art.40737"
"NCT02482233";"10.7717/peerj.5609"
"NCT02035202";"10.1093/schbul/sby135"
"NCT02278939";"10.1016/j.conctc.2018.09.004"
"NCT01787331";"10.1016/j.clgc.2018.09.013"
"NCT02670343";"10.1111/andr.12554"
"NCT02077998";"10.1021/acs.chemrestox.8b00170"
"NCT02072941";"10.1001/jamainternmed.2018.4657"
"NCT01990235";"10.1001/jamainternmed.2018.4657"
"NCT01867177";"10.1089/apc.2018.0128"
"NCT02178800";"10.1371/journal.pmed.1002690"
"NCT01869179";"10.1093/geronb/gby132"
"NCT03064724";"10.3122/jabfm.2018.06.180018"
"NCT02125773";"10.1097/qai.0000000000001888"
"NCT02217436";"10.1097/pec.0000000000001626"
"NCT01502306";"10.1016/j.amepre.2018.07.015"
"NCT02097641";"10.1016/s2213-2600(18)30418-1"
"NCT02008773";"10.1016/j.schres.2018.11.002"
"NCT01270230";"10.1007/s11121-018-0965-7"
"NCT02230566";"10.1007/s40262-018-0726-6"
"NCT03065504";"10.1016/j.joim.2018.11.004"
"NCT02752646";"10.1016/j.jcrs.2018.08.039"
"NCT02529176";"10.1001/jamainternmed.2018.5859"
"NCT02994602";"10.1111/andr.12577"
"NCT00598169";"10.1182/bloodadvances.2018022095"
"NCT02428647";"10.1016/j.jpeds.2018.11.022"
"NCT02342678";"10.1016/j.ajog.2018.10.031"
"NCT01808352";"10.1093/cid/ciy1141"
"NCT02086110";"10.1371/journal.pone.0210064"
"NCT02470936";"10.1016/j.eururo.2018.12.040"
"NCT02447159";"10.1186/s12884-019-2172-3"
"NCT01209325";"10.1016/j.pvr.2019.01.002"
"NCT02513121";"10.1001/jama.2018.20579"
"NCT03513965";"10.1016/j.jaip.2019.01.022"
"NCT02207036";"10.2196/11138"
"NCT02221167";"10.1177/0009922819826105"
"NCT01997008";"10.1007/s10461-019-02412-z"
"NCT02976220";"10.2196/12528"
"NCT01982643";"10.1097/adm.0000000000000509"
"NCT02048826";"10.1212/wnl.0000000000007041"
"NCT02078713";"10.1016/j.ajog.2019.02.015"
"NCT02396576";"10.1542/peds.2018-2738"
"NCT01979874";"10.1016/j.jss.2019.01.038"
"NCT03303027";"10.1016/j.jaad.2019.02.037"
"NCT02970162";"10.1097/cnd.0000000000000239"
"NCT01882998";"10.1371/journal.pone.0212119"
"NCT03327831";"10.1097/dss.0000000000001771"
"NCT02181062";"10.1161/jaha.118.011088"
"NCT01468753";"10.1371/journal.pone.0212656"
"NCT03354000";"10.3122/jabfm.2019.02.180263"
"NCT02966054";"10.1186/s12885-019-5427-5"
"NCT02094664";"10.1002/ppul.24267"
"NCT03048786";"10.1093/ntr/ntz047"
"NCT03253874";"10.1001/jamainternmed.2018.8358"
"NCT02715115";"10.1212/wnl.0000000000007316"
"NCT02145247";"10.1210/js.2018-00339"
"NCT01792648";"10.1186/s12944-019-1025-4"
"NCT02183909";"10.1097/qai.0000000000002051"
"NCT02090075";"10.1016/j.ahj.2019.02.014"
"NCT01825681";"10.1037/hea0000680"
"NCT02202031";"10.1097/ju.0000000000000328"
"NCT01116661";"10.3171/2019.1.jns182614"
"NCT03191929";"10.1097/mlr.0000000000001036"
"NCT01900613";"10.1186/s12889-019-6897-8"
"NCT02566356";"10.1038/s41386-019-0417-5"
"NCT02104466";"10.1093/pm/pnz117"
"NCT02393456";"10.1016/j.psyneuen.2019.04.019"
"NCT01463046";"10.1158/1078-0432.ccr-19-0171"
"NCT01427855";"10.1093/ajcn/nqz035"
"NCT01009918";"10.1016/j.jacc.2019.03.495"
"NCT02445638";"10.1093/ajcn/nqz088"
"NCT01900301";"10.1016/j.biopsych.2019.04.012"
"NCT01671501";"10.1007/s11606-019-05065-9"
"NCT02910037";"10.1056/nejmoa1803396"
"NCT03676803";"10.3390/nu11061425"
"NCT01958320";"10.1016/j.jpeds.2019.05.049"
"NCT03681171";"10.3389/fpubh.2019.00137"
"NCT03713840";"10.1017/s1368980019001629"
"NCT02147301";"10.2147/jhc.s206979"
"NCT02953158";"10.1093/cdn/nzz068"
"NCT01963780";"10.1016/s2213-2600(19)30200-0"
"NCT00499616";"10.1200/jco.19.00919"
"NCT01625819";"10.1097/hcr.0000000000000430"
"NCT02547077";"10.1097/dss.0000000000002076"
"NCT02143024";"10.1002/gps.5196"
"NCT02129153";"10.2105/ajph.2019.305240"
"NCT01694121";"10.1177/1557988319869493"
"NCT02467036";"10.1089/chi.2018.0331"
"NCT02383186";"10.1016/j.jaad.2019.08.040"
"NCT01977677";"10.1158/1078-0432.ccr-19-1421"
"NCT02034071";"10.1371/journal.pone.0221615"
"NCT01364727";"10.1016/j.lungcan.2019.09.015"
"NCT02251236";"10.1093/cid/ciz926"
"NCT01890265";"10.1016/s2213-2600(19)30262-0"
"NCT03828604";"10.1016/j.bbi.2019.09.023"
"NCT01960257";"10.1371/journal.pmed.1002891"
"NCT02258776";"10.1038/s41598-019-50926-2"
"NCT02126007";"10.1002/nur.21987"
"NCT02451345";"10.1002/cam4.2685"
"NCT03303014";"10.1007/s00403-019-02009-5"
"NCT02472379";"10.1016/j.bbi.2019.11.014"
"NCT02444793";"10.1186/s40425-019-0815-6"
"NCT02120781";"10.1002/lary.28453"
"NCT01860807";"10.1007/s11481-019-09883-w"
"NCT01888835";"10.1001/jamapsychiatry.2019.3655"
"NCT01238172";"10.1001/jama.2019.20207"
"NCT01483391";"10.1001/jamapsychiatry.2019.4520"
"NCT04155229";"10.1001/jamainternmed.2019.6544"
"NCT01495780";"10.2147/copd.s207626"
"NCT02640079";"10.1093/pm/pnz378"
"NCT02321930";"10.1186/s41927-019-0107-2"
"NCT03861624";"10.2106/jbjs.19.00563"
"NCT02279043";"10.1016/j.contraception.2020.01.014"
"NCT02094768";"10.3390/nu12020405"
"NCT01213082";"10.1038/s41433-020-0807-2"
"NCT02672176";"10.2196/16665"
"NCT02603471";"10.1371/journal.pone.0229557"
"NCT02446821";"10.1097/aog.0000000000003756"
"NCT01537133";"10.1016/j.jaci.2020.03.028"
"NCT02610400";"10.1016/s0140-6736(20)30470-0"
"NCT01904890";"10.5888/pcd17.190353"
"NCT02460731";"10.1002/mdc3.12940"
"NCT01720667";"10.1542/peds.2019-3182"
"NCT01883791";"10.1111/add.15114"
"NCT02244801";"10.1016/s0140-6736(20)30167-7"
"NCT02512419";"10.1016/j.amepre.2020.03.007"
"NCT02238951";"10.2196/16527"
"NCT02687633";"10.1097/iyc.0000000000000160"
"NCT01235767";"10.1371/journal.pone.0232197"
"NCT01772680";"10.1111/bjh.16771"
"NCT03302988";"10.1016/j.jaad.2020.06.013"
"NCT02464111";"10.1093/ajcn/nqaa147"
"NCT02582515";"10.1038/s41386-020-0762-4"
"NCT01894958";"10.1016/j.pediatrneurol.2020.04.019"
"NCT01771731";"10.1001/jamanetworkopen.2020.10874"
"NCT01750268";"10.1016/j.drugalcdep.2020.108149"
"NCT03862443";"10.1371/journal.pone.0236692"
"NCT02465983";"10.1016/j.ymthe.2020.07.017"
"NCT01802216";"10.1016/j.xkme.2019.09.005"
"NCT02010697";"10.1177/1179173x20943565"
"NCT03184337";"10.1177/0145721720943128"
"NCT01638559";"10.1002/hep.31520"
"NCT02550561";"10.1007/s00192-020-04481-4"
"NCT01717859";"10.1007/s10067-020-05340-9"
"NCT02241226";"10.3389/fcvm.2020.00120"
"NCT01983384";"10.1213/ane.0000000000004713"
"NCT03550144";"10.1037/emo0000876"
"NCT03982459";"10.1001/jamanetworkopen.2020.9750"
"NCT02408965";"10.1016/j.contraception.2020.10.009"
"NCT02290938";"10.1177/1740774520971774"
"NCT02181114";"10.1111/ajt.16262"
"NCT01555541";"10.1016/j.clml.2020.11.005"
"NCT02026544";"10.1159/000509819"
"NCT02360449";"10.1007/s10803-020-04787-8"
"NCT04522635";"10.1186/s13054-020-03441-0"
"NCT01423266";"10.1002/ehf2.13213"
"NCT02491190";"10.1136/bmjhci-2019-100076"
"NCT02373657";"10.4269/ajtmh.20-0390"
"NCT01877330";"10.1371/journal.pone.0246792"
"NCT02224976";"10.1139/apnm-2020-0880"
"NCT02804490";"10.1093/ajcn/nqaa429"
"NCT01922206";"10.1037/ccp0000622"
"NCT02585336";"10.1093/abm/kaaa123"
"NCT02535455";"10.1016/j.cbpra.2019.03.001"
"NCT02205307";"10.1097/dcr.0000000000002007"
"NCT02106767";"10.1002/cpt.2268"
"NCT01383174";"10.1089/heq.2020.0152"
"NCT02021812";"10.1016/j.jvs.2021.04.025"
"NCT04598100";"10.1007/s10578-021-01181-y"
"NCT02084979";"10.2196/24047"
"NCT01923337";"10.1007/s00280-021-04293-3"
"NCT02256865";"10.1210/clinem/dgab375"
"NCT03158012";"10.1001/jamadermatol.2021.1311"
"NCT02254902";"10.1093/tbm/ibab064"
"NCT02315690";"10.1136/bmjgh-2021-005021"
"NCT01781975";"10.1016/s2213-8587(21)00139-x"
"NCT01592682";"10.3390/ijerph18147682"
"NCT02264977";"10.1016/j.xjtc.2021.01.011"
"NCT01601626";"10.1093/cid/ciab097"
"NCT04710095";"10.1186/s13722-021-00262-6"
"NCT02417233";"10.1002/jia2.25774"
"NCT02122068";"10.1016/j.jadr.2021.100155"
"NCT02289859";"10.1007/s00403-021-02280-5"
"NCT02330744";"10.1093/scan/nsab107"
"NCT01882985";"10.1016/j.biopha.2021.112226"
"NCT00928226";"10.1097/coc.0000000000000868"
"NCT01687673";"10.1159/000518297"
"NCT01884233";"10.1016/j.drugalcdep.2021.109229"
"NCT02139722";"10.1007/s11606-021-07232-3"
"NCT01937936";"10.1186/s12877-022-02996-7"
"NCT03526081";"10.1016/j.freeradbiomed.2022.04.007"
"NCT02577575";"10.1016/j.cpnec.2020.100011"
"NCT00905060";"10.1158/1078-0432.ccr-16-1369"
"NCT02394054";"10.1017/s0033291721004104"
"NCT02141828";"10.1182/blood.v128.22.2780.2780"
"NCT01564381";"10.1016/j.phanu.2016.05.002"
"NCT01474746";"10.1097/dbp.0000000000000334"
"NCT01245595";"10.1097/pcc.0000000000000612"
"NCT01216319";"10.1097/gox.0000000000000846"
"NCT01663012";"10.1007/s11060-015-1795-0"
