"doi";"color_green_only";"color";"issn";"journal";"publisher";"publication_date_unpaywall"
"10.1016/j.jpeds.2013.07.017";"green";"green";"0022-3476";"The Journal of Pediatrics";"Elsevier BV";"2013-12-01"
"10.1007/s10637-013-0024-y";"green";"green";"0167-6997,1573-0646";"Investigational New Drugs";"Springer Science and Business Media LLC";"2013-09-08"
"10.1155/2013/585143";"gold";"gold";"2090-1240,2090-1259";"AIDS Research and Treatment";"Hindawi Limited";"2013-01-01"
"10.2196/resprot.2789";"gold";"gold";"1929-0748";"JMIR Research Protocols";"JMIR Publications Inc.";"2013-11-06"
"10.1093/cid/cit813";"bronze";"green";"1058-4838,1537-6591";"Clinical Infectious Diseases";"Oxford University Press (OUP)";"2013-12-12"
"10.1176/appi.ps.650101";"green";"green";"1075-2730,1557-9700";"Psychiatric Services";"American Psychiatric Association Publishing";"2014-01-01"
"10.1016/j.jvs.2013.10.051";"bronze";"green";"0741-5214";"Journal of Vascular Surgery";"Elsevier BV";"2014-04-01"
"10.1016/s1470-2045(13)70589-8";"green";"green";"1470-2045";"The Lancet Oncology";"Elsevier BV";"2014-02-01"
"10.3109/09546634.2013.860210";"closed";"closed";"0954-6634,1471-1753";"Journal of Dermatological Treatment";"Informa UK Limited";"2014-02-19"
"10.1097/ta.0000000000000144";"closed";"closed";"2163-0755";"Journal of Trauma and Acute Care Surgery";"Ovid Technologies (Wolters Kluwer Health)";"2014-03-01"
"10.1016/j.fertnstert.2014.01.050";"bronze";"green";"0015-0282";"Fertility and Sterility";"Elsevier BV";"2014-05-01"
"10.1123/jpah.2013-0442";"green";"green";"1543-3080,1543-5474";"Journal of Physical Activity and Health";"Human Kinetics";"2015-04-01"
"10.1056/nejmoa1403086";"bronze";"green";"0028-4793,1533-4406";"New England Journal of Medicine";"Massachusetts Medical Society";"2014-06-05"
"10.1001/jama.2014.5052";"bronze";"green";"0098-7484";"JAMA";"American Medical Association (AMA)";"2014-05-28"
"10.1186/1743-0003-11-76";"gold";"gold";"1743-0003";"Journal of NeuroEngineering and Rehabilitation";"Springer Science and Business Media LLC";"2014-01-01"
"10.1186/1471-2458-14-475";"gold";"gold";"1471-2458";"BMC Public Health";"Springer Science and Business Media LLC";"2014-05-20"
"10.1097/qad.0000000000000401";"bronze";"green";"0269-9370";"AIDS";"Ovid Technologies (Wolters Kluwer Health)";"2014-09-24"
"10.1227/neu.0000000000000514";"green";"green";"0148-396X";"Neurosurgery";"Ovid Technologies (Wolters Kluwer Health)";"2014-11-01"
"10.1371/journal.pmed.1001689";"gold";"gold";"1549-1676";"PLoS Medicine";"Public Library of Science (PLoS)";"2014-08-05"
"10.1016/j.jaad.2014.07.018";"closed";"closed";"0190-9622";"Journal of the American Academy of Dermatology";"Elsevier BV";"2015-04-01"
"10.1177/1545968314550368";"green";"green";"1545-9683,1552-6844";"Neurorehabilitation and Neural Repair";"SAGE Publications";"2014-10-01"
"10.1001/jamafacial.2014.671";"bronze";"green";"2168-6076,2168-6092";"JAMA Facial Plastic Surgery";"Mary Ann Liebert Inc";"2014-11-01"
"10.1001/jamadermatol.2014.2313";"closed";"closed";"2168-6068";"JAMA Dermatology";"American Medical Association (AMA)";"2015-03-01"
"10.2196/mhealth.3660";"gold";"gold";"2291-5222";"JMIR mHealth and uHealth";"JMIR Publications Inc.";"2014-11-05"
"10.1007/s11606-014-3084-6";"bronze";"green";"0884-8734,1525-1497";"Journal of General Internal Medicine";"Springer Science and Business Media LLC";"2014-11-18"
"10.1136/annrheumdis-2014-206076";"closed";"closed";"0003-4967,1468-2060";"Annals of the Rheumatic Diseases";"BMJ";"2014-12-01"
"10.1002/cncr.29088";"bronze";"bronze";"0008-543X";"Cancer";"Wiley";"2014-12-02"
"10.5665/sleep.4750";"bronze";"green";"0161-8105,1550-9109";"SLEEP";"Oxford University Press (OUP)";"2015-06-01"
"10.1016/j.clgc.2014.12.004";"closed";"closed";"1558-7673";"Clinical Genitourinary Cancer";"Elsevier BV";"2015-06-01"
"10.1038/bjc.2015.12";"hybrid";"hybrid";"0007-0920,1532-1827";"British Journal of Cancer";"Springer Science and Business Media LLC";"2015-01-20"
"10.1016/j.bbmt.2014.12.029";"hybrid";"hybrid";"1083-8791";"Biology of Blood and Marrow Transplantation";"Elsevier BV";"2015-04-01"
"10.1210/jc.2014-3911";"bronze";"green";"0021-972X,1945-7197";"The Journal of Clinical Endocrinology &amp; Metabolism";"The Endocrine Society";"2015-04-01"
"10.1007/8904_2014_403";"green";"green";"2192-8304,2192-8312";"JIMD Reports, Volume 24";"Springer Berlin Heidelberg";"2015-01-01"
"10.1038/pcan.2015.2";"green";"green";"1365-7852,1476-5608";"Prostate Cancer and Prostatic Diseases";"Springer Science and Business Media LLC";"2015-02-10"
"10.1093/bja/aev002";"bronze";"bronze";"0007-0912";"British Journal of Anaesthesia";"Elsevier BV";"2015-06-01"
"10.1158/1078-0432.ccr-14-3240";"bronze";"green";"1078-0432,1557-3265";"Clinical Cancer Research";"American Association for Cancer Research (AACR)";"2015-06-14"
"10.1177/0148607115572193";"green";"green";"0148-6071,1941-2444";"Journal of Parenteral and Enteral Nutrition";"Wiley";"2016-07-11"
"10.2196/jmir.3772";"gold";"gold";"1438-8871";"Journal of Medical Internet Research";"JMIR Publications Inc.";"2015-02-23"
"10.1370/afm.1768";"gold";"gold";"1544-1709,1544-1717";"The Annals of Family Medicine";"Annals of Family Medicine";"2015-03-01"
"10.1371/journal.pone.0122242";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2015-03-27"
"10.1016/j.pnpbp.2015.03.011";"hybrid";"hybrid";"0278-5846";"Progress in Neuro-Psychopharmacology and Biological Psychiatry";"Elsevier BV";"2016-01-01"
"10.2196/mhealth.3928";"gold";"gold";"2291-5222";"JMIR mHealth and uHealth";"JMIR Publications Inc.";"2015-04-13"
"10.1001/jamadermatol.2015.0174";"bronze";"green";"2168-6068";"JAMA Dermatology";"American Medical Association (AMA)";"2015-08-01"
"10.1056/nejmoa1415061";"green";"green";"0028-4793,1533-4406";"New England Journal of Medicine";"Massachusetts Medical Society";"2015-06-11"
"10.1186/s12906-015-0540-8";"gold";"gold";"1472-6882";"BMC Complementary and Alternative Medicine";"Springer Science and Business Media LLC";"2015-02-07"
"10.1016/s0140-6736(15)60025-3";"closed";"closed";"0140-6736";"The Lancet";"Elsevier BV";"2015-05-01"
"10.4081/dr.2015.5804";"gold";"gold";"2036-7406,2036-7392";"Dermatology Reports";"PAGEPress Publications";"2015-03-16"
"10.1097/nnr.0000000000000083";"green";"green";"0029-6562";"Nursing Research";"Ovid Technologies (Wolters Kluwer Health)";"2015-05-01"
"10.1097/aog.0000000000000821";"bronze";"green";"0029-7844";"Obstetrics &amp; Gynecology";"Ovid Technologies (Wolters Kluwer Health)";"2015-05-01"
"10.1148/radiol.2015141550";"closed";"closed";"0033-8419,1527-1315";"Radiology";"Radiological Society of North America (RSNA)";"2015-11-01"
"10.1002/pbc.25575";"green";"green";"1545-5009";"Pediatric Blood &amp; Cancer";"Wiley";"2015-05-13"
"10.1016/j.ajog.2015.05.030";"closed";"closed";"0002-9378";"American Journal of Obstetrics and Gynecology";"Elsevier BV";"2015-09-01"
"10.1001/jamadermatol.2015.0859";"bronze";"green";"2168-6068";"JAMA Dermatology";"American Medical Association (AMA)";"2015-09-01"
"10.1177/0148607115588334";"green";"green";"0148-6071,1941-2444";"Journal of Parenteral and Enteral Nutrition";"Wiley";"2016-07-11"
"10.1016/j.amepre.2015.01.020";"green";"green";"0749-3797";"American Journal of Preventive Medicine";"Elsevier BV";"2015-09-01"
"10.1037/emo0000088";"bronze";"green";"1931-1516,1528-3542";"Emotion";"American Psychological Association (APA)";"2015-08-01"
"10.1158/1078-0432.ccr-14-3281";"bronze";"green";"1078-0432,1557-3265";"Clinical Cancer Research";"American Association for Cancer Research (AACR)";"2015-09-30"
"10.1016/j.contraception.2015.07.008";"bronze";"green";"0010-7824";"Contraception";"Elsevier BV";"2016-01-01"
"10.1097/aog.0000000000000912";"green";"green";"0029-7844";"Obstetrics &amp; Gynecology";"Ovid Technologies (Wolters Kluwer Health)";"2015-07-01"
"10.1016/j.ymgme.2015.07.005";"green";"green";"1096-7192";"Molecular Genetics and Metabolism";"Elsevier BV";"2015-09-01"
"10.1200/jco.2015.61.1095";"green";"green";"0732-183X,1527-7755";"Journal of Clinical Oncology";"American Society of Clinical Oncology (ASCO)";"2015-10-01"
"10.1016/s1470-2045(15)00089-3";"closed";"closed";"1470-2045";"The Lancet Oncology";"Elsevier BV";"2015-09-01"
"10.3389/fphys.2015.00216";"gold";"gold";"1664-042X";"Frontiers in Physiology";"Frontiers Media SA";"2015-08-07"
"10.1176/appi.ajp.2015.15010055";"bronze";"green";"0002-953X,1535-7228";"American Journal of Psychiatry";"American Psychiatric Association Publishing";"2015-12-01"
"10.1186/s12882-015-0143-0";"gold";"gold";"1471-2369";"BMC Nephrology";"Springer Science and Business Media LLC";"2015-08-28"
"10.1111/1471-0528.13540";"hybrid";"hybrid";"1470-0328,1471-0528";"BJOG: An International Journal of Obstetrics &amp; Gynaecology";"Wiley";"2015-09-01"
"10.1016/j.drugalcdep.2015.08.029";"green";"green";"0376-8716";"Drug and Alcohol Dependence";"Elsevier BV";"2015-11-01"
"10.1016/j.annemergmed.2015.08.007";"bronze";"bronze";"0196-0644";"Annals of Emergency Medicine";"Elsevier BV";"2016-03-01"
"10.1089/tmj.2014.0176";"green";"green";"1530-5627,1556-3669";"Telemedicine and e-Health";"Mary Ann Liebert Inc";"2015-10-01"
"10.1016/j.foodchem.2015.08.099";"closed";"closed";"0308-8146";"Food Chemistry";"Elsevier BV";"2016-03-01"
"10.5056/jnm15120";"gold";"gold";"2093-0879,2093-0887";"Journal of Neurogastroenterology and Motility";"The Korean Society of Neurogastroenterology and Motility";"2015-12-30"
"10.1007/s10461-015-1215-7";"green";"green";"1090-7165,1573-3254";"AIDS and Behavior";"Springer Science and Business Media LLC";"2015-10-20"
"10.1097/mpg.0000000000001031";"green";"green";"0277-2116";"Journal of Pediatric Gastroenterology &amp; Nutrition";"Ovid Technologies (Wolters Kluwer Health)";"2016-06-01"
"10.1001/jama.2015.13896";"bronze";"green";"0098-7484";"JAMA";"American Medical Association (AMA)";"2015-11-17"
"10.3945/ajcn.115.111336";"bronze";"green";"0002-9165";"The American Journal of Clinical Nutrition";"Elsevier BV";"2016-01-01"
"10.1002/ptr.5518";"green";"green";"0951-418X";"Phytotherapy Research";"Wiley";"2015-12-01"
"10.1016/s1474-4422(15)00322-1";"green";"green";"1474-4422";"The Lancet Neurology";"Elsevier BV";"2016-01-01"
"10.1001/jamainternmed.2015.6840";"bronze";"bronze";"2168-6106";"JAMA Internal Medicine";"American Medical Association (AMA)";"2016-02-01"
"10.1007/s10995-015-1895-7";"green";"green";"1092-7875,1573-6628";"Maternal and Child Health Journal";"Springer Science and Business Media LLC";"2015-12-09"
"10.1038/jp.2015.157";"closed";"closed";"0743-8346,1476-5543";"Journal of Perinatology";"Springer Science and Business Media LLC";"2015-12-10"
"10.1038/jp.2015.130";"closed";"closed";"0743-8346,1476-5543";"Journal of Perinatology";"Springer Science and Business Media LLC";"2015-12-10"
"10.1097/qai.0000000000000922";"green";"green";"1525-4135";"JAIDS Journal of Acquired Immune Deficiency Syndromes";"Ovid Technologies (Wolters Kluwer Health)";"2016-05-01"
"10.1016/j.jtho.2015.11.003";"bronze";"green";"1556-0864";"Journal of Thoracic Oncology";"Elsevier BV";"2016-03-01"
"10.1371/journal.pone.0145427";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2016-01-06"
"10.1001/jamadermatol.2015.5544";"bronze";"bronze";"2168-6068";"JAMA Dermatology";"American Medical Association (AMA)";"2016-04-01"
"10.3945/jn.114.202424";"bronze";"green";"0022-3166";"The Journal of Nutrition";"Elsevier BV";"2016-02-01"
"10.1111/jgs.13774";"green";"green";"0002-8614";"Journal of the American Geriatrics Society";"Wiley";"2016-01-01"
"10.1159/000442260";"bronze";"green";"0033-3190,1423-0348";"Psychotherapy and Psychosomatics";"S. Karger AG";"2016-01-01"
"10.1161/jaha.115.002771";"gold";"gold";"2047-9980";"Journal of the American Heart Association";"Ovid Technologies (Wolters Kluwer Health)";"2016-01-13"
"10.1001/jamainternmed.2015.7712";"bronze";"green";"2168-6106";"JAMA Internal Medicine";"American Medical Association (AMA)";"2016-03-01"
"10.1111/bjd.14483";"closed";"closed";"0007-0963,1365-2133";"British Journal of Dermatology";"Oxford University Press (OUP)";"2016-06-07"
"10.1016/j.arth.2016.01.037";"closed";"closed";"0883-5403";"The Journal of Arthroplasty";"Elsevier BV";"2016-08-01"
"10.1093/schbul/sbw009";"bronze";"green";"0586-7614,1745-1701";"Schizophrenia Bulletin";"Oxford University Press (OUP)";"2016-02-22"
"10.1016/s1473-3099(15)00479-x";"bronze";"green";"1473-3099";"The Lancet Infectious Diseases";"Elsevier BV";"2016-06-01"
"10.1542/peds.2015-3013";"bronze";"green";"0031-4005,1098-4275";"Pediatrics";"American Academy of Pediatrics (AAP)";"2016-03-01"
"10.1177/1756283x15621232";"bronze";"green";"1756-2848,1756-2848";"Therapeutic Advances in Gastroenterology";"SAGE Publications";"2015-12-31"
"10.1007/s11606-016-3644-z";"bronze";"green";"0884-8734,1525-1497";"Journal of General Internal Medicine";"Springer Science and Business Media LLC";"2016-03-08"
"10.1213/ane.0000000000001211";"green";"green";"0003-2999";"Anesthesia &amp; Analgesia";"Ovid Technologies (Wolters Kluwer Health)";"2016-05-01"
"10.1213/ane.0000000000001222";"green";"green";"0003-2999";"Anesthesia &amp; Analgesia";"Ovid Technologies (Wolters Kluwer Health)";"2016-05-01"
"10.1037/ccp0000096";"bronze";"green";"1939-2117,0022-006X";"Journal of Consulting and Clinical Psychology";"American Psychological Association (APA)";"2016-07-01"
"10.1002/cncr.29927";"bronze";"green";"0008-543X";"Cancer";"Wiley";"2016-03-28"
"10.3324/haematol.2015.140152";"gold";"gold";"0390-6078,1592-8721";"Haematologica";"Ferrata Storti Foundation (Haematologica)";"2016-04-01"
"10.1111/bjh.13946";"bronze";"bronze";"0007-1048";"British Journal of Haematology";"Wiley";"2016-04-01"
"10.1038/tp.2016.45";"gold";"gold";"2158-3188";"Translational Psychiatry";"Springer Science and Business Media LLC";"2016-04-12"
"10.1002/acn3.288";"gold";"gold";"2328-9503,2328-9503";"Annals of Clinical and Translational Neurology";"Wiley";"2016-02-22"
"10.1111/acer.13064";"green";"green";"0145-6008";"Alcoholism: Clinical and Experimental Research";"Wiley";"2016-04-18"
"10.1016/j.urology.2016.04.022";"closed";"closed";"0090-4295";"Urology";"Elsevier BV";"2016-08-01"
"10.1016/j.jaut.2016.03.011";"green";"green";"0896-8411";"Journal of Autoimmunity";"Elsevier BV";"2016-07-01"
"10.1007/s00213-016-4308-8";"green";"green";"0033-3158,1432-2072";"Psychopharmacology";"Springer Science and Business Media LLC";"2016-05-03"
"10.1097/adm.0000000000000213";"closed";"closed";"1932-0620";"Journal of Addiction Medicine";"Ovid Technologies (Wolters Kluwer Health)";"2016-05-01"
"10.1515/jpem-2015-0461";"green";"green";"2191-0251,0334-018X";"Journal of Pediatric Endocrinology and Metabolism";"Walter de Gruyter GmbH";"2016-01-01"
"10.1371/journal.pone.0153190";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2016-05-11"
"10.1016/s2095-4964(16)60252-2";"green";"green";"2095-4964";"Journal of Integrative Medicine";"Elsevier BV";"2016-05-01"
"10.1136/gutjnl-2015-310683";"closed";"closed";"0017-5749,1468-3288";"Gut";"BMJ";"2016-04-15"
"10.1001/jamainternmed.2016.1795";"bronze";"green";"2168-6106";"JAMA Internal Medicine";"American Medical Association (AMA)";"2016-07-01"
"10.1186/s12966-016-0385-7";"gold";"gold";"1479-5868";"International Journal of Behavioral Nutrition and Physical Activity";"Springer Science and Business Media LLC";"2016-05-28"
"10.1542/peds.2016-0191";"bronze";"green";"0031-4005,1098-4275";"Pediatrics";"American Academy of Pediatrics (AAP)";"2016-06-01"
"10.1007/s13142-015-0349-5";"green";"green";"1869-6716,1613-9860";"Translational Behavioral Medicine";"Oxford University Press (OUP)";"2015-10-13"
"10.1371/journal.pone.0157349";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2016-06-15"
"10.1017/jns.2015.42";"gold";"gold";"2048-6790";"Journal of Nutritional Science";"Cambridge University Press (CUP)";"2016-01-01"
"10.1016/j.earlhumdev.2016.05.011";"bronze";"bronze";"0378-3782";"Early Human Development";"Elsevier BV";"2016-08-01"
"10.1080/13625187.2016.1210122";"green";"green";"1362-5187,1473-0782";"The European Journal of Contraception &amp; Reproductive Health Care";"Informa UK Limited";"2016-07-15"
"10.1111/ctr.12811";"green";"green";"0902-0063";"Clinical Transplantation";"Wiley";"2016-09-24"
"10.1001/jamacardio.2016.0008";"bronze";"green";"2380-6583";"JAMA Cardiology";"American Medical Association (AMA)";"2016-05-01"
"10.1513/annalsats.201605-384oc";"green";"green";"2329-6933,2325-6621";"Annals of the American Thoracic Society";"American Thoracic Society";"2016-11-01"
"10.1521/aeap.2016.28.2.117";"closed";"closed";"0899-9546";"AIDS Education and Prevention";"Guilford Publications";"2016-04-01"
"10.1002/oby.21575";"bronze";"bronze";"1930-7381";"Obesity";"Wiley";"2016-07-28"
"10.1111/pace.12926";"closed";"closed";"0147-8389";"Pacing and Clinical Electrophysiology";"Wiley";"2016-09-13"
"10.1038/ajg.2016.286";"green";"green";"0002-9270";"American Journal of Gastroenterology";"Ovid Technologies (Wolters Kluwer Health)";"2016-11-01"
"10.2196/mhealth.6002";"gold";"gold";"2291-5222";"JMIR mHealth and uHealth";"JMIR Publications Inc.";"2016-08-03"
"10.1039/c6fo00611f";"green";"green";"2042-6496,2042-650X";"Food &amp; Function";"Royal Society of Chemistry (RSC)";"2016-01-01"
"10.1097/bpb.0000000000000372";"closed";"closed";"1060-152X";"Journal of Pediatric Orthopaedics B";"Ovid Technologies (Wolters Kluwer Health)";"2017-09-01"
"10.1128/aac.00862-16";"hybrid";"hybrid";"0066-4804,1098-6596";"Antimicrobial Agents and Chemotherapy";"American Society for Microbiology";"2016-10-01"
"10.1148/radiol.2016160220";"bronze";"green";"0033-8419,1527-1315";"Radiology";"Radiological Society of North America (RSNA)";"2017-02-01"
"10.1111/pace.12938";"closed";"closed";"0147-8389";"Pacing and Clinical Electrophysiology";"Wiley";"2016-10-06"
"10.1016/j.jaac.2016.05.023";"closed";"closed";"0890-8567";"Journal of the American Academy of Child &amp; Adolescent Psychiatry";"Elsevier BV";"2016-09-01"
"10.1093/neuonc/now176";"bronze";"green";"1522-8517,1523-5866";"Neuro-Oncology";"Oxford University Press (OUP)";"2016-08-29"
"10.1001/jamapediatrics.2016.2521";"bronze";"bronze";"2168-6203";"JAMA Pediatrics";"American Medical Association (AMA)";"2016-11-07"
"10.2196/resprot.4672";"gold";"gold";"1929-0748";"JMIR Research Protocols";"JMIR Publications Inc.";"2016-09-06"
"10.1007/s00038-016-0875-z";"green";"green";"1661-8556,1661-8564";"International Journal of Public Health";"Springer Science and Business Media LLC";"2016-09-06"
"10.2196/resprot.5836";"gold";"gold";"1929-0748";"JMIR Research Protocols";"JMIR Publications Inc.";"2016-09-08"
"10.1016/j.jaci.2016.08.010";"bronze";"green";"0091-6749";"Journal of Allergy and Clinical Immunology";"Elsevier BV";"2017-03-01"
"10.1097/qai.0000000000001179";"green";"green";"1525-4135";"JAIDS Journal of Acquired Immune Deficiency Syndromes";"Ovid Technologies (Wolters Kluwer Health)";"2017-01-01"
"10.1016/j.amepre.2016.06.021";"green";"green";"0749-3797";"American Journal of Preventive Medicine";"Elsevier BV";"2016-10-01"
"10.1016/s2352-3018(16)30090-x";"green";"green";"2352-3018";"The Lancet HIV";"Elsevier BV";"2016-11-01"
"10.1136/tobaccocontrol-2016-053086";"hybrid";"hybrid";"0964-4563,1468-3318";"Tobacco Control";"BMJ";"2016-10-01"
"10.1111/clr.12945";"closed";"closed";"0905-7161";"Clinical Oral Implants Research";"Wiley";"2016-10-03"
"10.1212/wnl.0000000000003279";"green";"green";"0028-3878,1526-632X";"Neurology";"Ovid Technologies (Wolters Kluwer Health)";"2016-10-05"
"10.1136/injuryprev-2016-042194";"closed";"closed";"1353-8047,1475-5785";"Injury Prevention";"BMJ";"2016-10-11"
"10.1111/bjd.15116";"green";"green";"0007-0963,1365-2133";"British Journal of Dermatology";"Oxford University Press (OUP)";"2016-12-22"
"10.1097/j.pain.0000000000000734";"green";"green";"0304-3959,1872-6623";"Pain";"Ovid Technologies (Wolters Kluwer Health)";"2016-09-29"
"10.1007/s13555-016-0149-y";"gold";"gold";"2193-8210,2190-9172";"Dermatology and Therapy";"Springer Science and Business Media LLC";"2016-10-24"
"10.1001/jamaophthalmol.2016.4096";"green";"green";"2168-6165";"JAMA Ophthalmology";"American Medical Association (AMA)";"2016-12-01"
"10.18632/oncotarget.12904";"gold";"gold";"1949-2553";"Oncotarget";"Impact Journals, LLC";"2016-10-25"
"10.1161/strokeaha.116.014200";"bronze";"green";"0039-2499,1524-4628";"Stroke";"Ovid Technologies (Wolters Kluwer Health)";"2016-12-01"
"10.1212/wnl.0000000000003451";"closed";"closed";"0028-3878,1526-632X";"Neurology";"Ovid Technologies (Wolters Kluwer Health)";"2016-11-30"
"10.1111/andr.12303";"green";"green";"2047-2919";"Andrology";"Wiley";"2016-12-01"
"10.1016/j.amepre.2016.10.003";"green";"green";"0749-3797";"American Journal of Preventive Medicine";"Elsevier BV";"2017-03-01"
"10.3945/ajcn.116.135327";"bronze";"green";"0002-9165";"The American Journal of Clinical Nutrition";"Elsevier BV";"2017-02-01"
"10.1002/da.22593";"gold";"gold";"1091-4269";"Depression and Anxiety";"Hindawi Limited";"2017-01-06"
"10.1016/j.jpainsymman.2016.12.342";"bronze";"green";"0885-3924";"Journal of Pain and Symptom Management";"Elsevier BV";"2017-08-01"
"10.1002/ppul.23659";"green";"green";"8755-6863,1099-0496";"Pediatric Pulmonology";"Wiley";"2017-01-09"
"10.1017/s1041610216002155";"hybrid";"hybrid";"1041-6102,1741-203X";"International Psychogeriatrics";"Cambridge University Press (CUP)";"2017-01-16"
"10.1038/npp.2017.10";"bronze";"green";"0893-133X,1740-634X";"Neuropsychopharmacology";"Springer Science and Business Media LLC";"2017-01-16"
"10.1016/j.ymgmr.2017.01.002";"gold";"gold";"2214-4269";"Molecular Genetics and Metabolism Reports";"Elsevier BV";"2017-03-01"
"10.1016/j.jsat.2016.12.011";"green";"green";"0740-5472";"Journal of Substance Abuse Treatment";"Elsevier BV";"2017-03-01"
"10.3389/fpsyt.2016.00208";"gold";"gold";"1664-0640";"Frontiers in Psychiatry";"Frontiers Media SA";"2017-01-16"
"10.1016/j.urolonc.2016.11.005";"closed";"closed";"1078-1439";"Urologic Oncology: Seminars and Original Investigations";"Elsevier BV";"2017-04-01"
"10.1055/s-0042-121668";"gold";"gold";"2364-3722,2196-9736";"Endoscopy International Open";"Georg Thieme Verlag KG";"2017-01-01"
"10.2196/jmir.5806";"gold";"gold";"1438-8871";"Journal of Medical Internet Research";"JMIR Publications Inc.";"2017-02-13"
"10.1016/j.pec.2017.02.009";"green";"green";"0738-3991";"Patient Education and Counseling";"Elsevier BV";"2017-07-01"
"10.12788/jhm.2694";"bronze";"bronze";"1553-5606";"Journal of Hospital Medicine";"Wiley";"2017-03-01"
"10.1089/end.2017.0027";"green";"green";"0892-7790,1557-900X";"Journal of Endourology";"Mary Ann Liebert Inc";"2017-05-01"
"10.1097/ccm.0000000000002340";"closed";"closed";"0090-3493";"Critical Care Medicine";"Ovid Technologies (Wolters Kluwer Health)";"2017-07-01"
"10.1213/ane.0000000000001939";"green";"green";"0003-2999";"Anesthesia &amp; Analgesia";"Ovid Technologies (Wolters Kluwer Health)";"2017-04-01"
"10.1016/j.cct.2017.03.006";"green";"green";"1551-7144";"Contemporary Clinical Trials";"Elsevier BV";"2017-06-01"
"10.1037/ccp0000188";"green";"green";"1939-2117,0022-006X";"Journal of Consulting and Clinical Psychology";"American Psychological Association (APA)";"2017-05-01"
"10.1016/j.jpedsurg.2017.03.009";"green";"green";"0022-3468";"Journal of Pediatric Surgery";"Elsevier BV";"2017-06-01"
"10.1172/jci90367";"bronze";"green";"0021-9738,1558-8238";"Journal of Clinical Investigation";"American Society for Clinical Investigation";"2017-03-27"
"10.14740/cr346w";"hybrid";"hybrid";"1923-2829";"Cardiology Research";"Elmer Press, Inc.";"2014-01-01"
"10.1007/s00520-017-3674-z";"closed";"closed";"0941-4355,1433-7339";"Supportive Care in Cancer";"Springer Science and Business Media LLC";"2017-03-28"
